Name deutsch;Name englisch;URL der Einrichtung;Einrichtungsart;Einrichtungsart englisch;DFG Instituts ID;Straße;Hausnummer;Postfach;Postleizahl vor Ort;Ort;Postleitzahl nach Ort;DESTATIS Fächerguppe;DESTATIS Lehr- Forschungsbereich;DESTATIS Fachgebiet;GRID ID;Crossref ID 1;Crossref ID 2;Crossref ID 3;URL GERiT Nachweis;;;
Max-Planck-Institut für Kernphysik;Max Planck Institute for Nuclear Physics;www.mpi-hd.mpg.de/mpi/de/start/;MPG;Max Planck;10084;Saupfercheckweg;1;;69117;Heidelberg;;Mathematik, Naturwissenschaften;Physik, Astronomie;Kernphysik;grid.419604.e;;;;http://www.gerit.org/de/institutiondetail/10084;;;
Max-Planck-Institut für medizinische Forschung;Max Planck Institute for Medical Research;www.mr.mpg.de;MPG;Max Planck;10085;Jahnstraße;29;;69120;Heidelberg;;Humanmedizin/Gesundheitswissenschaften;Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin);Experimentelle Medizin/Medizinforschung (ohne klinische Medizin);grid.414703.5;;;;http://www.gerit.org/de/institutiondetail/10085;;;
Max-Planck-Institut für Festkörperforschung (MPI-FKF);Max Planck Institute for Solid State Research (MPI-FKF);www.fkf.mpg.de/;MPG;Max Planck;10087;Heisenbergstraße;1;;70569;Stuttgart;;Mathematik, Naturwissenschaften;Physik, Astronomie;Festkörperphysik;grid.419552.e;;;;http://www.gerit.org/de/institutiondetail/10087;;;
Max-Planck-Institut für Intelligente Systeme;Max Planck Institute for Intelligent Systems;www.is.mpg.de/;MPG;Max Planck;10088;Heisenbergstraße;3;;70569;Stuttgart;;Ingenieurwissenschaften;Informatik;Künstliche Intelligenz;grid.419534.e;;;;http://www.gerit.org/de/institutiondetail/10088;;;
Friedrich-Miescher-Laboratorium für biologische Arbeitsgruppen in der Max-Planck-Gesellschaft;Friedrich Miescher Laboratory of the Max Planck Society;www.fml.tuebingen.mpg.de/;MPG;Max Planck;10090;Max-Planck-Ring;9;;72076;Tübingen;;Mathematik, Naturwissenschaften;Biologie;Biologie allgemein;grid.418026.9;;;;http://www.gerit.org/de/institutiondetail/10090;;;
Max-Planck-Institut für biologische Kybernetik;Max Planck Institute for Biological Cybernetics;www.kyb.tuebingen.mpg.de;MPG;Max Planck;10091;Max-Planck-Ring;Aug 14;;72076;Tübingen;;Humanmedizin/Gesundheitswissenschaften;Klinisch-Praktische Humanmedizin (ohne Zahnmedizin);Neurologie;grid.419501.8;;;;http://www.gerit.org/de/institutiondetail/10091;;;
Max-Planck-Institut für Entwicklungsbiologie;Max Planck Institute for Developmental Biology;www.eb.tuebingen.mpg.de;MPG;Max Planck;10092;Max-Planck-Ring;5;;72076;Tübingen;;Mathematik, Naturwissenschaften;Biologie;Biologie allgemein;grid.419495.4;;;;http://www.gerit.org/de/institutiondetail/10092;;;
Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO);Fraunhofer Institute for Industrial Engineering (IAO);www.iao.fraunhofer.de/lang-de/;FhG;Fraunhofer;10094;Nobelstraße;12;;70569;Stuttgart;;Rechts-, Wirtschafts- und  Sozialwissenschaften;Wirtschaftswissenschaften;Arbeitslehre/-wissenschaft;grid.434477.7;;;;http://www.gerit.org/de/institutiondetail/10094;;;
Fraunhofer-Institut für Optronik; Systemtechnik und Bildauswertung IOSB;Fraunhofer-Institute of Optronics, System Technologies and Image Exploitation IOSB;www.iosb.fraunhofer.de;FhG;Fraunhofer;10095;Fraunhoferstraße;1;;76131;Karlsruhe;;Ingenieurwissenschaften;Elektrotechnik und Informationstechnik;Optoelektronik;grid.466706.5;;;;http://www.gerit.org/de/institutiondetail/10095;;
Fraunhofer-Institut für Angewandte Festkörperphysik (IAF);Fraunhofer Institute for Applied Solid State Physics (IAF);www.iaf.fraunhofer.de/;FhG;Fraunhofer;10096;Tullastraße;72;;79108;Freiburg;;Mathematik, Naturwissenschaften;Physik, Astronomie;Festkörperphysik;grid.424642.2;;;;http://www.gerit.org/de/institutiondetail/10096;;;
Deutsches Krebsforschungszentrum (DKFZ);German Cancer Research Center (DKFZ);www.dkfz.de;HGF;Helmholtz;10097;Im Neuenheimer Feld;280;;69120;Heidelberg;;Humanmedizin/Gesundheitswissenschaften;Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin);Klinische Krebsforschung und molekulare Tumorforschung;grid.7497.d;100008658;;;http://www.gerit.org/de/institutiondetail/10097;;;
Leibniz-Institut für Sonnenphysik (KIS);Leibniz Institute of Solar Physics (KIS);www.leibniz-kis.de/;WGL;Leibniz;10099;Schöneckstraße;6;;79104;Freiburg;;Mathematik, Naturwissenschaften;Physik, Astronomie;Astronomie, Astrophysik;;;;;http://www.gerit.org/de/institutiondetail/10099;;;
Europäisches Laboratorium für Molekularbiologie (EMBL);European Molecular Biology Laboratory (EMBL);www.embl.de;Int. wiss. Org.;int. scient. organ.;10100;Meyerhofstraße;1;;69117;Heidelberg;;Mathematik, Naturwissenschaften;Biologie;Mikrobiologie;grid.4709.a;;;;http://www.gerit.org/de/institutiondetail/10100;;;
Leibniz-Institut für Deutsche Sprache (IDS);Leibniz Institute for the German Language (IDS);www.ids-mannheim.de;WGL;Leibniz;10101;R 5;Jun 13;;68161;Mannheim;;Geisteswissenschaften;Germanistik (Deutsch, germanische Sprachen ohne Anglistik);Deutsche Sprachwissenschaft;grid.443960.c;;;;http://www.gerit.org/de/institutiondetail/10101;;;
Zentralinstitut für Seelische Gesundheit (ZI);Central Institute of Mental Health (ZI);www.zi-mannheim.de/;Landesforschung;state research;10102;J 5;;;68159;Mannheim;;Humanmedizin/Gesundheitswissenschaften;Klinisch-Praktische Humanmedizin (ohne Zahnmedizin);Psychiatrie;grid.413757.3;;;;http://www.gerit.org/de/institutiondetail/10102;;;
Max Rubner-Institut (MRI); Bundesforschungsinstitut für Ernährung und Lebensmittel;Max Rubner-Institut (MRI), Federal Research Institute of Nutrition and Food;www.mri.bund.de/de/home/;Bundesforschung;federal research;10104;Haid-und-Neu-Straße;9;;76131;Karlsruhe;;Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin;Ernährungs- und Haushaltswissenschaften;Ernährungswissenschaften;;;;;http://www.gerit.org/de/institutiondetail/10104;;
Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg (FVA);Forestry Research and Experimental Station of Baden-Württemberg;www.fva-bw.de/;Sonst. Forschg;other res. inst.;10106;Wonnhaldestraße;4;;79100;Freiburg;;Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin;Forstwissenschaft, Holzwirtschaft;Forstliche Fachwissenschaften;grid.424546.5;;;;http://www.gerit.org/de/institutiondetail/10106;;;
Institut für Mikroelektronik Stuttgart (IMS CHIPS);Institut für Mikroelektronik Stuttgart (IMS CHIPS);www.ims-chips.de/home.php?id=a0b0c0de;Landesforschung;state research;10107;Allmandring;30a;;70569;Stuttgart;;Ingenieurwissenschaften;Elektrotechnik und Informationstechnik;Elektrotechnik allgemein;grid.425335.6;;;;http://www.gerit.org/de/institutiondetail/10107;;;
Ludwig-Maximilians-Universität München (LMU);Ludwig-Maximilians-Universität München (LMU);www.uni-muenchen.de/index.html;Universität;university;10108;Geschwister-Scholl-Platz;1;;80539;München;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.5252.0;5,011E+11;;;http://www.gerit.org/de/institutiondetail/10108;;;
Katholische Universität Eichstätt-Ingolstadt;Catholic University of Eichstätt-Ingolstadt;www.ku.de/;Universität;university;10110;;;;85071;Eichstätt;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.440923.8;;;;http://www.gerit.org/de/institutiondetail/10110;;;
Universität Passau;University of Passau;www.uni-passau.de;Universität;university;10111;Innstraße;41;;94032;Passau;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.11046.32;;;;http://www.gerit.org/de/institutiondetail/10111;;;
Universität Regensburg;University of Regensburg;www.uni-regensburg.de/;Universität;university;10113;Universitätsstraße;31;;93053;Regensburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.7727.5;5,011E+11;;;http://www.gerit.org/de/institutiondetail/10113;;;
Friedrich-Alexander-Universität Erlangen-Nürnberg;Friedrich-Alexander-Universität Erlangen-Nürnberg;www.fau.de/;Universität;university;10115;Schlossplatz;4;;91054;Erlangen;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.5330.5;5,011E+11;5,011E+11;;http://www.gerit.org/de/institutiondetail/10115;;;
Universität Bayreuth;University of Bayreuth;www.uni-bayreuth.de;Universität;university;10117;Universitätsstraße;30;;95447;Bayreuth;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.7384.8;;;;http://www.gerit.org/de/institutiondetail/10117;;;
Otto-Friedrich-Universität Bamberg;University of Bamberg;www.uni-bamberg.de;Universität;university;10119;Kapuzinerstraße;16;;96047;Bamberg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.7359.8;;;;http://www.gerit.org/de/institutiondetail/10119;;;
Julius-Maximilians-Universität Würzburg;Julius Maximilian University of Würzburg;www.uni-wuerzburg.de;Universität;university;10121;Sanderring;2;;97070;Würzburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.8379.5;;;;http://www.gerit.org/de/institutiondetail/10121;;;
Universität Augsburg;University of Augsburg;www.uni-augsburg.de/;Universität;university;10123;Universitätsstraße;2;;86159;Augsburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.7307.3;;;;http://www.gerit.org/de/institutiondetail/10123;;;
Technische Universität München (TUM);Technical University of Munich;www.tum.de/;Universität;university;10125;Arcisstraße;21;;80333;München;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.6936.a;5,011E+11;;;http://www.gerit.org/de/institutiondetail/10125;;;
Hochschule für Philosophie München;Munich School of Philosophy;www.hfph.de;Universität;university;10127;Kaulbachstraße;31;;80539;München;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.461666.5;;;;http://www.gerit.org/de/institutiondetail/10127;;;
Universität der Bundeswehr München;Bundeswehr University Munich;www.unibw.de/;Universität;university;10128;Werner-Heisenberg-Weg;39;;85579;Neubiberg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.7752.7;;;;http://www.gerit.org/de/institutiondetail/10128;;;
Hochschule für angewandte Wissenschaften München;University of Applied Sciences München;www.hm.edu;Weitere HS/FS;univ.of appl.science;10130;Lothstraße;34;;80335;München;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.434949.7;;;;http://www.gerit.org/de/institutiondetail/10130;;;
Hochschule Weihenstephan-Triesdorf;University of Applied Sciences Weihenstephan-Triesdorf;www.hswt.de/;Weitere HS/FS;univ.of appl.science;10131;Am Hofgarten;4;;85354;Freising;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.4819.4;;;;http://www.gerit.org/de/institutiondetail/10131;;;
Technische Hochschule Rosenheim;Rosenheim Technical University of Applied Sciences;www.th-rosenheim.de/;Weitere HS/FS;univ.of appl.science;10132;Hochschulstraße;1;;83024;Rosenheim;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.449770.9;;;;http://www.gerit.org/de/institutiondetail/10132;;;
Ostbayerische Technische Hochschule Regensburg (OTH);OTH Regensburg;www.oth-regensburg.de;Weitere HS/FS;univ.of appl.science;10133;Prüfeninger Straße;58;;93049;Regensburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.434958.7;;;;http://www.gerit.org/de/institutiondetail/10133;;;
Hochschule für angewandte Wissenschaften Coburg;Coburg University of Applied Sciences;www.hs-coburg.de;Weitere HS/FS;univ.of appl.science;10134;Friedrich-Streib-Straße;2;;96450;Coburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.461647.6;;;;http://www.gerit.org/de/institutiondetail/10134;;;
Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt;University of Applied Sciences Würzburg-Schweinfurt;www.fhws.de;Weitere HS/FS;univ.of appl.science;10135;Münzstraße;12;;97070;Würzburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.449775.c;;;;http://www.gerit.org/de/institutiondetail/10135;;;
Hochschule für angewandte Wissenschaften Kempten;Kempten University of Applied Sciences;www.hs-kempten.de/home.html;Weitere HS/FS;univ.of appl.science;10137;Bahnhofstraße;61;;87435;Kempten;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.200773.1;;;;http://www.gerit.org/de/institutiondetail/10137;;;
Bayerische Akademie der Wissenschaften;Bavarian Academy of Sciences and Humanities;www.badw.de/;Akad. d. Wiss.;Academies;10138;Alfons-Goppel-Straße;11;;80539;München;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.423977.c;5,011E+11;;;http://www.gerit.org/de/institutiondetail/10138;;;
